entity,code,year,crop,yield
Bangladesh,BGD,1961,wheat,0.5738
Bangladesh,BGD,1961,rice,1.7005
Bangladesh,BGD,1961,maize,0.7988000000000001
Bangladesh,BGD,1961,barley,0.5768
Bangladesh,BGD,1962,wheat,0.6753
Bangladesh,BGD,1962,rice,1.5302
Bangladesh,BGD,1962,maize,0.7384000000000001
Bangladesh,BGD,1962,barley,0.5445
Bangladesh,BGD,1963,wheat,0.6069
Bangladesh,BGD,1963,rice,1.769
Bangladesh,BGD,1963,maize,0.7725000000000001
Bangladesh,BGD,1963,barley,0.6937
Bangladesh,BGD,1964,wheat,0.6011000000000001
Bangladesh,BGD,1964,rice,1.707
Bangladesh,BGD,1964,maize,0.7532
Bangladesh,BGD,1964,barley,0.5532
Bangladesh,BGD,1965,wheat,0.6467
Bangladesh,BGD,1965,rice,1.6827
Bangladesh,BGD,1965,maize,0.7532
Bangladesh,BGD,1965,barley,0.5907
Bangladesh,BGD,1966,wheat,0.6473
Bangladesh,BGD,1966,rice,1.5827
Bangladesh,BGD,1966,maize,0.8333
Bangladesh,BGD,1966,barley,0.5571
Bangladesh,BGD,1967,wheat,0.7926000000000001
Bangladesh,BGD,1967,rice,1.6944
Bangladesh,BGD,1967,maize,0.9375
Bangladesh,BGD,1967,barley,0.6696000000000001
Bangladesh,BGD,1968,wheat,0.758
Bangladesh,BGD,1968,rice,1.7466000000000002
Bangladesh,BGD,1968,maize,0.9375
Bangladesh,BGD,1968,barley,0.6599
Bangladesh,BGD,1969,wheat,0.7964
Bangladesh,BGD,1969,rice,1.7459
Bangladesh,BGD,1969,maize,0.9375
Bangladesh,BGD,1969,barley,0.6466000000000001
Bangladesh,BGD,1970,wheat,0.874
Bangladesh,BGD,1970,rice,1.6862
Bangladesh,BGD,1970,maize,0.9375
Bangladesh,BGD,1970,barley,0.6542
Bangladesh,BGD,1971,wheat,0.888
Bangladesh,BGD,1971,rice,1.6022
Bangladesh,BGD,1971,maize,0.7143
Bangladesh,BGD,1971,barley,0.7097
Bangladesh,BGD,1972,wheat,0.9038
Bangladesh,BGD,1972,rice,1.5716
Bangladesh,BGD,1972,maize,0.7143
Bangladesh,BGD,1972,barley,0.7422000000000001
Bangladesh,BGD,1973,wheat,0.7572
Bangladesh,BGD,1973,rice,1.8083
Bangladesh,BGD,1973,maize,0.8744000000000001
Bangladesh,BGD,1973,barley,0.6293000000000001
Bangladesh,BGD,1974,wheat,0.8987
Bangladesh,BGD,1974,rice,1.7289
Bangladesh,BGD,1974,maize,0.8878
Bangladesh,BGD,1974,barley,0.6306
Bangladesh,BGD,1975,wheat,0.926
Bangladesh,BGD,1975,rice,1.8531
Bangladesh,BGD,1975,maize,0.9025
Bangladesh,BGD,1975,barley,0.6406000000000001
Bangladesh,BGD,1976,wheat,1.4535
Bangladesh,BGD,1976,rice,1.7839
Bangladesh,BGD,1976,maize,0.8974000000000001
Bangladesh,BGD,1976,barley,0.6701
Bangladesh,BGD,1977,wheat,1.6211
Bangladesh,BGD,1977,rice,1.9398
Bangladesh,BGD,1977,maize,0.8405
Bangladesh,BGD,1977,barley,0.6278
Bangladesh,BGD,1978,wheat,1.8419
Bangladesh,BGD,1978,rice,1.9385
Bangladesh,BGD,1978,maize,0.7991
Bangladesh,BGD,1978,barley,0.6318
Bangladesh,BGD,1979,wheat,1.866
Bangladesh,BGD,1979,rice,1.8809
Bangladesh,BGD,1979,maize,0.7265
Bangladesh,BGD,1979,barley,0.6311
Bangladesh,BGD,1980,wheat,1.899
Bangladesh,BGD,1980,rice,2.0197000000000003
Bangladesh,BGD,1980,maize,0.7146
Bangladesh,BGD,1980,barley,0.6491
Bangladesh,BGD,1981,wheat,1.8479
Bangladesh,BGD,1981,rice,1.9545
Bangladesh,BGD,1981,maize,0.73
Bangladesh,BGD,1981,barley,0.6343
Bangladesh,BGD,1982,wheat,1.8114
Bangladesh,BGD,1982,rice,2.0145
Bangladesh,BGD,1982,maize,0.7387
Bangladesh,BGD,1982,barley,0.6879000000000001
Bangladesh,BGD,1983,wheat,2.109
Bangladesh,BGD,1983,rice,2.2345
Bangladesh,BGD,1983,maize,0.7829
Bangladesh,BGD,1983,barley,0.7001000000000001
Bangladesh,BGD,1984,wheat,2.3021000000000003
Bangladesh,BGD,1984,rice,2.1454
Bangladesh,BGD,1984,maize,0.8179000000000001
Bangladesh,BGD,1984,barley,0.6727000000000001
Bangladesh,BGD,1985,wheat,2.1647000000000003
Bangladesh,BGD,1985,rice,2.1693
Bangladesh,BGD,1985,maize,0.8669
Bangladesh,BGD,1985,barley,0.6265000000000001
Bangladesh,BGD,1986,wheat,1.9282
Bangladesh,BGD,1986,rice,2.1783
Bangladesh,BGD,1986,maize,0.9246
Bangladesh,BGD,1986,barley,0.6398
Bangladesh,BGD,1987,wheat,1.8657
Bangladesh,BGD,1987,rice,2.2399
Bangladesh,BGD,1987,maize,0.9458
Bangladesh,BGD,1987,barley,0.6271
Bangladesh,BGD,1988,wheat,1.7542
Bangladesh,BGD,1988,rice,2.2805
Bangladesh,BGD,1988,maize,0.9118
Bangladesh,BGD,1988,barley,0.6393
Bangladesh,BGD,1989,wheat,1.8246
Bangladesh,BGD,1989,rice,2.5562
Bangladesh,BGD,1989,maize,0.9417
Bangladesh,BGD,1989,barley,0.6167
Bangladesh,BGD,1990,wheat,1.5034
Bangladesh,BGD,1990,rice,2.5661
Bangladesh,BGD,1990,maize,1.0015
Bangladesh,BGD,1990,barley,0.628
Bangladesh,BGD,1991,wheat,1.6767
Bangladesh,BGD,1991,rice,2.6592
Bangladesh,BGD,1991,maize,0.9781
Bangladesh,BGD,1991,barley,0.613
Bangladesh,BGD,1992,wheat,1.8534
Bangladesh,BGD,1992,rice,2.6893
Bangladesh,BGD,1992,maize,0.9319
Bangladesh,BGD,1992,barley,0.6351
Bangladesh,BGD,1993,wheat,1.8457
Bangladesh,BGD,1993,rice,2.7185
Bangladesh,BGD,1993,maize,0.9351
Bangladesh,BGD,1993,barley,0.6156
Bangladesh,BGD,1994,wheat,1.839
Bangladesh,BGD,1994,rice,2.5328
Bangladesh,BGD,1994,maize,0.9042
Bangladesh,BGD,1994,barley,0.619
Bangladesh,BGD,1995,wheat,1.9483
Bangladesh,BGD,1995,rice,2.6527000000000003
Bangladesh,BGD,1995,maize,1.07
Bangladesh,BGD,1995,barley,0.6
Bangladesh,BGD,1996,wheat,1.9531
Bangladesh,BGD,1996,rice,2.7629
Bangladesh,BGD,1996,maize,1.0166
Bangladesh,BGD,1996,barley,0.643
Bangladesh,BGD,1997,wheat,2.0544
Bangladesh,BGD,1997,rice,2.7431
Bangladesh,BGD,1997,maize,1.0914
Bangladesh,BGD,1997,barley,0.6362
Bangladesh,BGD,1998,wheat,2.2408
Bangladesh,BGD,1998,rice,2.9358
Bangladesh,BGD,1998,maize,0.7339
Bangladesh,BGD,1998,barley,0.6516000000000001
Bangladesh,BGD,1999,wheat,2.1627
Bangladesh,BGD,1999,rice,3.2139
Bangladesh,BGD,1999,maize,1.2346
Bangladesh,BGD,1999,barley,0.5884
Bangladesh,BGD,2000,wheat,2.2104
Bangladesh,BGD,2000,rice,3.4836
Bangladesh,BGD,2000,maize,2.0597000000000003
Bangladesh,BGD,2000,barley,0.7267
Bangladesh,BGD,2001,wheat,2.1643
Bangladesh,BGD,2001,rice,3.402
Bangladesh,BGD,2001,maize,3.2216
Bangladesh,BGD,2001,barley,0.7057
Bangladesh,BGD,2002,wheat,2.1644
Bangladesh,BGD,2002,rice,3.4902
Bangladesh,BGD,2002,maize,4.0349
Bangladesh,BGD,2002,barley,0.7411
Bangladesh,BGD,2003,wheat,2.1327000000000003
Bangladesh,BGD,2003,rice,3.5768
Bangladesh,BGD,2003,maize,4.0334
Bangladesh,BGD,2003,barley,0.7113
Bangladesh,BGD,2004,wheat,1.9527
Bangladesh,BGD,2004,rice,3.5359000000000003
Bangladesh,BGD,2004,maize,4.8243
Bangladesh,BGD,2004,barley,0.731
Bangladesh,BGD,2005,wheat,1.7478
Bangladesh,BGD,2005,rice,3.7814
Bangladesh,BGD,2005,maize,5.3311
Bangladesh,BGD,2005,barley,0.9176
Bangladesh,BGD,2006,wheat,1.5344
Bangladesh,BGD,2006,rice,3.8541
Bangladesh,BGD,2006,maize,5.2998
Bangladesh,BGD,2006,barley,0.7843
Bangladesh,BGD,2007,wheat,1.8471
Bangladesh,BGD,2007,rice,4.0833
Bangladesh,BGD,2007,maize,5.9812
Bangladesh,BGD,2007,barley,0.8127000000000001
Bangladesh,BGD,2008,wheat,2.1753
Bangladesh,BGD,2008,rice,4.1441
Bangladesh,BGD,2008,maize,6.0172
Bangladesh,BGD,2008,barley,0.876
Bangladesh,BGD,2009,wheat,2.1516
Bangladesh,BGD,2009,rice,4.2404
Bangladesh,BGD,2009,maize,5.6831000000000005
Bangladesh,BGD,2009,barley,0.8597
Bangladesh,BGD,2010,wheat,2.3959
Bangladesh,BGD,2010,rice,4.3422
Bangladesh,BGD,2010,maize,5.8378000000000005
Bangladesh,BGD,2010,barley,0.8530000000000001
Bangladesh,BGD,2011,wheat,2.6012
Bangladesh,BGD,2011,rice,4.3917
Bangladesh,BGD,2011,maize,6.1512
Bangladesh,BGD,2011,barley,0.8848
Bangladesh,BGD,2012,wheat,2.7789
Bangladesh,BGD,2012,rice,4.4206
Bangladesh,BGD,2012,maize,6.5838
Bangladesh,BGD,2012,barley,0.8864000000000001
Bangladesh,BGD,2013,wheat,3.0138000000000003
Bangladesh,BGD,2013,rice,4.5317
Bangladesh,BGD,2013,maize,6.5953
Bangladesh,BGD,2013,barley,0.8966000000000001
Bangladesh,BGD,2014,wheat,3.0319000000000003
Bangladesh,BGD,2014,rice,4.5382
Bangladesh,BGD,2014,maize,6.915100000000001
Bangladesh,BGD,2014,barley,1.0726
